Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BAX,COF,BAX,COF,BAX,COF,BAX,COF,BAX,COF
Date,,,,,,,,,,
2021-12-31,78.81194305419922,135.81260681152344,79.61989852566307,137.34774085176943,78.79358361382342,135.70963989430118,79.19756134955534,135.91557372874573,1788100,1356300
2022-01-03,79.75763702392578,138.8548126220703,79.81272236235499,139.80024015486376,78.21518450517567,136.6082795829878,78.51816087128435,136.73932710554914,1899800,2381600
2022-01-04,80.79509735107422,141.48513793945312,80.8042805734658,142.61777421952078,79.46381729889254,140.18401810272425,79.85861180477514,140.81117514658976,3346300,3478800
2022-01-05,80.66657257080078,138.77992248535156,81.63060793144024,143.2168415416997,80.56557812331484,138.7144058674181,80.80429290871318,142.49607304578157,2966500,2105900
2022-01-06,79.67498779296875,141.09194946289062,80.96036583000038,141.61613940169534,79.64744512866933,136.8516099355756,80.75837695214226,139.53810479660658,1507300,2622200
2022-01-07,80.29013061523438,144.7987823486328,80.80428603270568,145.67867895974007,79.99633052157081,140.39931357620495,80.16159351205324,140.99838999266606,1750600,3286300
2022-01-10,79.24346923828125,147.10147094726562,80.51048786385346,147.76607823997156,78.90376703092969,144.2465062120303,80.21668776316585,146.76448958308237,2912800,3876900
2022-01-11,79.28937530517578,148.37451171875,79.49136418003269,148.70213765091464,77.86627696304514,145.94077009091285,79.22510675451646,147.4571791050403,2403300,2178100
2022-01-12,79.3628158569336,148.6365966796875,79.72088444636897,150.73337108062694,78.58240313174531,148.3277102061981,78.9588381643416,149.32928452324688,2169400,2133200
2022-01-13,78.85785675048828,151.05162048339844,79.6015367120407,151.92216153706363,78.47224543744234,149.35735839893823,79.28937717426452,149.92835414460055,2568400,2407300
2022-01-14,78.72012329101562,150.29342651367188,79.02310655989979,150.35895741051962,77.41638601882674,144.63964412144682,78.62831208961772,146.90490210910264,2246700,3633100
2022-01-18,78.83031463623047,147.03594970703125,79.26183506301898,152.0157693954448,78.20598855157311,145.83779695719758,78.58241664415131,150.34958778136024,2258900,2393700
2022-01-19,78.59160614013672,141.9157257080078,79.30774349930759,147.99074606090957,78.2243542366588,141.87828968002722,78.94967481972215,147.38229991213237,1827000,2019100
2022-01-20,78.94966125488281,140.66140747070312,80.40030217176577,144.6583639322103,78.69258706804203,140.24953975965593,78.73849617486913,141.9906078125592,2504900,1962700
2022-01-21,79.2159194946289,137.1511688232422,79.71170843362579,139.89381084077635,78.50896547340425,136.0279025166859,79.55562867637111,139.89381084077635,2348400,2727100
2022-01-24,78.92212677001953,138.8173828125,79.00476176992109,139.14499449202452,77.15014293598557,131.68461224183466,78.21517268295796,134.0809323494715,3510600,3963500
2022-01-25,78.10499572753906,142.43055725097656,78.89458482167511,144.63028449528161,77.03997297563858,135.344592900077,77.96727539628333,137.34775600633736,2697900,5634300
2022-01-26,77.37049865722656,135.63475036621094,78.5365229573497,140.36184444575315,77.05833908380627,133.0418809099504,77.84792824624864,134.74549843832236,3888000,7626600
2022-01-27,77.70101165771484,132.62063598632812,79.13329318001016,139.0981672487711,77.17768004516843,131.81564014951906,77.68265221725113,137.43198583736006,2665400,4048700
2022-01-28,78.30696868896484,133.50054931640625,78.36205400836668,133.59416080295384,76.36053901473447,129.7376075133993,77.9764427630626,131.80628710489046,2588600,3599400
2022-01-31,78.44471740722656,137.3477325439453,78.54571186587687,137.6098275386382,77.49904838963563,131.4318557283122,78.30699705408995,132.30238247144806,2568500,3789000
